legal_text,simplified_text,source_judgment,source_summary,pair_type
"The Gauhati High Court recently denied anticipatory bail to a person in connection with a case registered under Section 21(c) 29 of NDPS Act, 1985 holding that recovery or seizure of the contraband is not mandatory for their arrest, detention or even their conviction.","the gauhati high court recently denied anticipatory bail to a person in connection with a case registered under section 21(c) 29 of ndps act, 1985 holding that recovery or seizure of the contraband is not mandatory for their arrest, detention or even their conviction.",EN_Summary.txt,EN_Summary.txt,judgment_summary
Justice Sanjay Kumar Medhi observed that this was so because the offences under the Act were part of an organised crime and any convincing and corroborating material in favour of the prosecution would be sufficient to establish their guilt.,justice sanjay kumar medhi observed that this was so because the offences under the act were part of an organised crime and any convincing and corroborating material in favour of the prosecution would be sufficient to establish their guilt.,EN_Summary.txt,EN_Summary.txt,judgment_summary
"This Court finds force in the submission of the learned APP, Assam that offences under the NDPS Act are part of an organized crime wherein different roles are played by different accused persons.","this court finds force in the submission of the learned app, assam that offences under the ndps act are part of an organized crime wherein different roles are played by different accused persons.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"Therefore, recovery or seizure cannot be held to be a sine qua non for the arrest detention or even for conviction if there are other convincing and corroborating materials which in the present case are abundantly available.","therefore, recovery or seizure cannot be held to be a sine qua non for the arrest detention or even for conviction if there are other convincing and corroborating materials which in the present case are abundantly available.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"It was also found that in a case involving the NDPS Act, various factors are to be taken into consideration like the quantity of the contraband, nature of the substance, nature of involvement etc.","it was also found that in a case involving the ndps act, various factors are to be taken into consideration like the quantity of the contraband, nature of the substance, nature of involvement etc.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"In the present case, the contraband is a commercial quantity and the substance is a chemically manufactured drug.","in the present case, the contraband is a commercial quantity and the substance is a chemically manufactured drug.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"Moreover, Section 37 lays down that before granting bail, the relevant factors are that the Court should come to the satisfaction that prima facie the petitioner is not guilty of the offence and also the petitioner has to satisfy the Court that in case bail is granted, he is not likely to commit further offences.","moreover, section 37 lays down that before granting bail, the relevant factors are that the court should come to the satisfaction that at first glance the person making the request is not guilty of the offence and also the person making the request has to satisfy the court that in case bail is granted, he is not likely to commit further offences.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"The aforesaid two factors did not seem to be fulfilled in the present case, and therefore the bail applications were dismissed.","the aforesaid two factors did not seem to be fulfilled in the present case, and therefore the bail applications were dismissed.",EN_Summary.txt,EN_Summary.txt,judgment_summary
The petitioner had filed an application under Section 438 CrPC seeking pre-arrest bail in connection with a case registered under Section 21(c) 29 of the NDPS Act.,the person making the request had filed an application under section 438 crpc seeking pre-arrest bail in connection with a case registered under section 21(c) 29 of the ndps act.,EN_Summary.txt,EN_Summary.txt,judgment_summary
"The case of the petitioner is that the allegations in the FIR are incorrect though it is a fact that a truck was intercepted and in the search, Eskuf cough syrup in 44,160 bottles in 276 cartons was recovered without any documents.","the case of the person making the request is that the allegations in the fir are incorrect though it is a fact that a truck was intercepted and in the search, eskuf cough syrup in 44,160 bottles in 276 cartons was recovered without any documents.",EN_Summary.txt,EN_Summary.txt,judgment_summary
The case of the petitioner is that the psychotropic substance seized was sold by the agency run by the petitioner to a distributor in the Karimganj district.,the case of the person making the request is that the psychotropic substance seized was sold by the agency run by the person making the request to a distributor in the karimganj district.,EN_Summary.txt,EN_Summary.txt,judgment_summary
The further case of the petitioner is that one Anirudh Kumar Singh was running M s.,the further case of the person making the request is that one anirudh kumar singh was running m s.,EN_Summary.txt,EN_Summary.txt,judgment_summary
Hematech Pharmaceuticals at Narangi.,hematech pharmaceuticals at narangi.,EN_Summary.txt,EN_Summary.txt,judgment_summary
